"id"	"sitc"	"name"
108935	8935	"Plastic Lamps"
108946	8946	"Non-Military Arms"
108989	8989	"Musical Instrument Parts"
109510	9510	"Armoured Vehicles, Firearms and Ammunition"
116637	6637	"Miscellaneous Refractory Goods"
116648	6648	"Mirrors"
117415	7415	"Air Conditioners"
117421	7421	"Reciprocating Pumps"
117500	7500	"Office machines and automatic data processing equipment"
117510	7510	"Office machines"
117511	7511	"Typewriters"
117512	7512	"Calculating Machines"
117518	7518	"Miscellaneous Office Equipment"
117520	7520	"Automatic data processing machines"
117521	7521	"Analog Computers"
117522	7522	"Personal Computers"
117523	7523	"CPUs"
117524	7524	"Digital storage units"
117525	7525	"Computer Peripherals"
117528	7528	"Miscellaneous Data Processing Equipment"
117590	7590	"Parts, nes of and accessories for machines of headings 751 or 752"
117591	7591	"Parts of Office Machines"
117599	7599	"Computer Parts and Accessories"
117610	7610	"Television receivers"
117611	7611	"Color TVs"
117612	7612	"Black and White TV"
117620	7620	"Radio-broadcast receivers"
117621	7621	"Vehicles Stereos"
117622	7622	"Portable Stereos"
117628	7628	"Miscellaneous Stereo Equipment"
117630	7630	"Sound recording devices"
117631	7631	"Recorded Audio Players"
117638	7638	"Video and Sound Recorders"
117640	7640	"Telecommunication equipment, nes; parts and accessories, nes"
117641	7641	"Telephone Line"
117642	7642	"Audio Amplifiers"
117643	7643	"TV and Radio Transmitters"
117648	7648	"Miscellaneous Telecom Equipment"
117649	7649	"Telecom Parts and Accessories"
117712	7712	"Miscellaneous Power Machinery"
117720	7720	"Electrical apparatus for making and breaking electrical circuits"
117722	7722	"Printed Circuits"
117723	7723	"Electrical Resistors"
117730	7730	"Equipment for distribution of electricity"
117751	7751	"Washing Machines"
117753	7753	"Dishwashers"
117754	7754	"Shavers and Hair Clippers"
117757	7757	"Home Electrical Appliances"
117760	7760	"Thermionic, microcircuits, transistors, valves, etc"
117761	7761	"TV Tubes and Cathode Rays"
117762	7762	"Electronic Valves and Tubes"
117763	7763	"Diodes, Transistors and Photocells"
117764	7764	"Electronic Microcircuits"
117768	7768	"Miscellaneous Electronic Circuit Parts"
117780	7780	"Other electrical machinery"
117781	7781	"Batteries"
117788	7788	"Miscellaneous Electrical Machinery"
118124	8124	"Lighting Fixtures"
118482	8482	"Plastic or Rubber Clothing"
118710	8710	"Optical Instruments"
118740	8740	"Measuring, checking and analysing instruments"
118810	8810	"Photographic apparatus and equipment, nes"
118811	8811	"Cameras"
118813	8813	"Photo and Movie Equipment"
118820	8820	"Photographic and cinematographic supplies"
118841	8841	"Optical Lenses"
118850	8850	"Watches and clocks"
118852	8852	"Clocks"
118900	8900	"Miscellaneous manufactured articles"
118942	8942	"Toys and Games"
118947	8947	"Sporting Goods"
118980	8980	"Musical instruments, parts and accessories thereof"
118981	8981	"Pianos and String Instruments"
118982	8982	"Miscellaneous Musical Instruments"
118983	8983	"Sound Recording Media"
118990	8990	"Other miscellaneous manufactured articles, nes"
126253	6253	"Aircraft Tires"
127131	7131	"Internal Combustion Engines for Aircraft"
127144	7144	"Reaction Engines"
127148	7148	"Miscellaneous Gas Turbines"
127149	7149	"Parts of Gas Turbines and Reaction Engines"
127920	7920	"Aircraft and equipment and parts"
127922	7922	"Small Aircraft"
127923	7923	"Aircraft"
127924	7924	"Large Aircraft"
127928	7928	"Miscellaneous Aircraft Equipment"
127929	7929	"Aircraft Parts and Accessories"
136252	6252	"Large Transport Vehicle Tires"
136254	6254	"Bike Tires"
136259	6259	"Miscellaneous Tire Parts"
136623	6623	"Refractory Bricks"
136644	6644	"Unworked Surface Ground Cast Glass"
136646	6646	"Pressed or Moulded Glass"
136770	6770	"Uninsulated Steel Wire"
136931	6931	"Metal Cables"
137110	7110	"Steam & other vapour generating boilers & parts"
137111	7111	"Steam Water Boilers"
137112	7112	"Condensers"
137119	7119	"Miscellaneous Boiler Parts"
137711	7711	"Electrical Transformers"
137782	7782	"Lightbulbs"
138731	8731	"Gas, Liquid and Electric Meters"
145620	5620	"Fertilizers, manufactured"
145822	5822	"Aminoplasts"
145852	5852	"Miscellaneous Artificial Plastics"
147915	7915	"Rail Freight Transport"
147921	7921	"Helicopters"
147930	7930	"Ships, boats and floating structures"
147931	7931	"Warships"
147932	7932	"Ships and Boats"
147933	7933	"Ships for Disposal"
147938	7938	"Miscellaneous Boats and Floating Structures"
148930	8930	"Articles, nes of plastic materials"
152814	2814	"Roasted Iron Pyrites"
152829	2829	"Waste and scrap metal of iron or steel"
152880	2880	"Non-ferrous base metal waste and scrap, nes"
155224	5224	"Metallic Oxides"
156630	6630	"Mineral manufactures, nes"
156710	6710	"Pig and sponge iron, spiegeleisen, etc, and ferro-alloys"
156712	6712	"Pig and Cast Iron"
156713	6713	"Iron and Steel Powders"
156716	6716	"Ferro-alloys"
156720	6720	"Ingots and other primary forms, of iron or steel"
156724	6724	"Blocks of Iron and Steel"
156725	6725	"Iron Billets"
156727	6727	"Iron Coils"
156730	6730	"Iron and steel bars, rods, shapes and sections"
156733	6733	"Iron Shapes"
156740	6740	"Universals, plates, and sheets, of iron or steel"
156741	6741	"Universal plates of iron or steel"
156744	6744	"Thick Iron Sheets"
156745	6745	"Iron Sheets"
156746	6746	"Thin Iron Sheets"
156747	6747	"Tinned Sheets"
156749	6749	"Miscellaneous Processed Iron"
156750	6750	"Iron or steel hot or cold rolled"
156780	6780	"Tube, pipes and fittings, of iron or steel"
156783	6783	"Miscellaneous Iron Tubes and Pipes"
156790	6790	"Iron, steel casting, forging and stamping, in the rough state, nes"
156822	6822	"Processed Copper"
156863	6863	"Zinc"
156900	6900	"Manufactures of metals, nes"
156920	6920	"Metal containers for storage and transport"
156930	6930	"Wire products (excluding insulated electrical wire); fencing grills"
202400	2400	"Cork and wood"
202450	2450	"Fuel Wood and Charcoal"
202460	2460	"Pulpwood"
202470	2470	"Other wood in the rough or roughly squared"
202471	2471	"Rough Coniferous Logs"
202472	2472	"Non-Coniferous Sawlogs"
202479	2479	"Rough Wood"
202480	2480	"Wood, simply worked, and railway sleepers of wood"
202481	2481	"Railroad Ties"
202482	2482	"Coniferous Wood"
202483	2483	"Non-Coniferous Worked Wood"
202510	2510	"Pulp and waste paper"
203510	3510	"Electric Current"
206000	6000	"Manufactured goods classified chiefly by materials"
206340	6340	"Veneers, plywood, improved wood and other wood, worked, nes"
206341	6341	"Sawn Wood Less Than 5mm Thick"
206342	6342	"Plywood"
206343	6343	"Improved Wood"
206344	6344	"Wood Panels"
206349	6349	"Simply Shaped Wood"
206350	6350	"Wood manufactures, nes"
206351	6351	"Wood Boxes"
206353	6353	"Carpentry Wood"
206359	6359	"Miscellaneous Manufactured Wood Articles"
206410	6410	"Paper and paperboard"
206416	6416	"Fiberboard"
206417	6417	"Tissue Paper"
206420	6420	"Paper and paperboard, precut, and articles of paper or paperboard"
206422	6422	"Correspondence Stationary"
206428	6428	"Miscellaneous Articles of Paper"
206582	6582	"Textile Camping Goods"
206590	6590	"Floor coverings, etc"
206610	6610	"Lime, cement, and fabricated construction materials"
206618	6618	"Fiber Cements"
206620	6620	"Clay and refractory construction materials"
206624	6624	"Building Materials"
206633	6633	"Miscellaneous Mineral Materials"
206649	6649	"Miscellaneous Glass"
206660	6660	"Pottery"
206732	6732	"Iron Bars and Rods"
206842	6842	"Processed Aluminium"
206910	6910	"Structures and parts, nes, of iron, steel or aluminium"
206911	6911	"Iron Structures"
206912	6912	"Aluminium Structures"
206921	6921	"Reservoir Tanks"
206924	6924	"Metal Containers"
206970	6970	"Household equipment of base metal, nes"
206973	6973	"Domestic Non-Electric Stoves"
206990	6990	"Manufactures of base metal, nes"
206996	6996	"Miscellaneous Articles of Base Metals"
206997	6997	"Miscellaneous Articles of Iron"
207414	7414	"Miscellaneous Refrigeration Equipment"
207731	7731	"Electric Wire"
207750	7750	"Household type equipment, nes"
207752	7752	"Household Refrigeration"
207861	7861	"Transportation Containers"
208000	8000	"Miscellaneous manufactured articles"
208120	8120	"Sanitary, plumbing, heating, lighting fixtures and fittings, nes"
208122	8122	"Ceramic Fixtures"
208210	8210	"Furniture and parts thereof"
208211	8211	"Chairs and Couches"
208212	8212	"Medical Furniture"
208219	8219	"Miscellaneous Furniture"
208920	8920	"Printed matter"
208932	8932	"Plastic Sanitary Articles"
208940	8940	"Baby carriages, toys, games and sporting goods"
216576	6576	"Hats"
216597	6597	"Plaited Products"
216640	6640	"Glass"
216643	6643	"Blown Glass"
216650	6650	"Glassware"
216652	6652	"Glassware"
216664	6664	"Porcelain"
216665	6665	"Pottery"
216666	6666	"Miscellaneous Ceramic Ornaments"
216953	6953	"Miscellaneous Hand Tools"
216960	6960	"Cutlery"
216974	6974	"Miscellaneous Domestic Articles of Base Metals"
216978	6978	"Miscellaneous Base Metal Household Appliances"
216993	6993	"Pins and Needles"
217852	7852	"Bicycles"
218842	8842	"Eyewear"
218851	8851	"Watches"
218933	8933	"Plastic Ornaments"
218941	8941	"Baby Carriages"
218950	8950	"Office and stationary supplies, nes"
218951	8951	"Metal Office Products"
218952	8952	"Pens and Pencils"
218959	8959	"Miscellaneous Office and Stationary Supplies"
218960	8960	"Artwork"
218994	8994	"Umbrellas and Canes"
218998	8998	"Miscellaneous Small Wares"
222512	2512	"Mechanical Wood Pulp"
222516	2516	"Dissolving Grade Chemical Wood Pulp"
222517	2517	"Chemical Wood Pulp of Soda or Sulphate"
222518	2518	"Chemical Wood Pulp of sulphite"
222519	2519	"Miscellaneous Cellulosic Pulps"
225851	5851	"Derivatives of Rubber"
225981	5981	"Woods and Resin Chemicals"
226411	6411	"Newsprint"
226412	6412	"Rolls of Paper"
226413	6413	"Kraft Paper"
226415	6415	"Miscellaneous Paper"
300619	"0619"	"Sugar Syrups"
301122	1122	"Miscellaneous Fermented Beverages"
301123	1123	"Beer"
301124	1124	"Liquor"
301221	1221	"Cigars"
305121	5121	"Acyclic Alcohols"
310121	"0121"	"Miscellaneous Animal Entrails"
310483	"0483"	"Pasta"
310484	"0484"	"Baked Goods"
310540	"0540"	"Vegetables, fresh or simply preserved; roots and tubers"
310545	"0545"	"Miscellaneous Vegetables"
310546	"0546"	"Frozen Vegetables"
310560	"0560"	"Vegetables, roots and tubers"
310561	"0561"	"Dried Vegetables"
310564	"0564"	"Flour"
310565	"0565"	"Vegetables"
310570	"0570"	"Fruit and nuts, fresh, dried"
310579	"0579"	"Miscellaneous Fruit"
310580	"0580"	"Fruit, preserved, and fruits preparations"
310583	"0583"	"Fruit Jams"
310585	"0585"	"Fruit or Vegetable Juices"
310586	"0586"	"Temporarily Preserved Fruit"
310589	"0589"	"Prepared Fruit"
310610	"0610"	"Sugar and honey"
310620	"0620"	"Confectionary Sugar"
310730	"0730"	"Chocolate"
310910	"0910"	"Margarine and shortening"
310914	"0914"	"Margarine"
310980	"0980"	"Miscellaneous Edibles"
311110	1110	"Miscellaneous Beverages"
311120	1120	"Alcoholic beverages"
311121	1121	"Wine"
312710	2710	"Fertilizers, crude"
312711	2711	"Crude Fertilizer"
314235	4235	"Olive Oil"
314312	4312	"Hydrogenated Oils"
314313	4313	"Fatty and Oil Acids"
316330	6330	"Cork Products"
316421	6421	"Paper Office Containers"
318931	8931	"Plastic Storage Containers"
402330	2330	"Synthetic rubber, latex; waste, scrap of unhardened rubber"
402332	2332	"Reclaimed and Scrap Rubber"
405831	5831	"Polyethylene"
405832	5832	"Polypropylene"
405834	5834	"Polyvinyl Chloride"
406210	6210	"Rubber Materials"
412713	2713	"Natural Calcium Phosphates"
412733	2733	"Sands"
415221	5221	"Chemical Elements"
415222	5222	"Inorganic Acids and Oxygen Compounds"
415231	5231	"Metallic Salts and Peroxysalts of Inorganic Acids"
415232	5232	"Metallic Salts"
415239	5239	"Inorganic Chemical Products"
415622	5622	"Phosphatic Fertilizers"
415629	5629	"Miscellaneous Fertilizers"
415720	5720	"Explosives and pyrotechnic products"
415721	5721	"Prepared Explosives"
420810	"0810"	"Feed for animals"
420819	"0819"	"Food Waste and Animal Feed"
422652	2652	"Hemp"
423351	3351	"Petroleum Jelly"
425139	5139	"Oxygen-Function Acids"
425330	5330	"Pigments, paints, varnishes and related materials"
425334	5334	"Varnishes and Lacquers"
425335	5335	"Glazes"
425410	5410	"Medicinal and pharmaceutical products"
425413	5413	"Antibiotics"
425414	5414	"Vegetable Alkaloids and Derivatives"
425417	5417	"Medicaments"
425419	5419	"Non-Medicinal Pharmaceutical Products"
425500	5500	"Oils and perfume materials; toilet and cleansing preparations"
425510	5510	"Essential oils, perfume and flavour materials"
425530	5530	"Perfumery and Cosmetics"
425542	5542	"Miscellaneous Organic Surfactants"
425543	5543	"Polishes for Floors, Footwear and Metals"
425821	5821	"Phenoplasts"
425837	5837	"Polyvinyl Acetate"
426419	6419	"Miscellaneous Converted Paper"
426424	6424	"Cut Paper"
426546	6546	"Glass Fiber Fabrics"
426571	6571	"Felt"
426573	6573	"Coated Textile Fabrics"
426579	6579	"Special Products of Textile"
428921	8921	"Printed Books and Maps"
428922	8922	"Newspapers and Journals"
428939	8939	"Miscellaneous Articles of Plastic"
430712	"0712"	"Coffee Extracts"
432712	2712	"Natural Sodium Nitrate"
432714	2714	"Crude Natural Potassium Salts"
432772	2772	"Miscellaneous Natural Abrasives"
433352	3352	"Mineral Tars"
435114	5114	"Non-Halogenated Hydrocarbons Derivatives"
435540	5540	"Soap, cleansing and polishing preparations"
435541	5541	"Soaps"
435621	5621	"Nitrogenous Fertilizers"
435623	5623	"Potassic Fertilizers"
435911	5911	"Insecticides"
435912	5912	"Fungicides"
435913	5913	"Herbicides"
435914	5914	"Disinfectants"
442331	2331	"Synthetic Rubber"
442671	2671	"Regenerated Fiber"
443344	3344	"Fuel oils"
443345	3345	"Lubricating Petroleum Oils"
445100	5100	"Organic chemicals"
445110	5110	"Hydrocarbons, nes, and derivatives"
445111	5111	"Acyclic Hydrocarbons"
445112	5112	"Cyclic Hydrocarbons"
445113	5113	"Halogenated Hydrocarbons"
445120	5120	"Alcohols, phenols etc, and their derivatives"
445122	5122	"Cyclic Alcohols"
445123	5123	"Phenols"
445130	5130	"Carboxylic acids, and their derivatives"
445137	5137	"Monocarboxylic Acids"
445138	5138	"Polycaboxylic Acids"
445140	5140	"Nitrogen-function compounds"
445145	5145	"Amine-Function Compounds"
445146	5146	"Oxygen-Function Amino-Compounds"
445147	5147	"Amide Function Compounds"
445148	5148	"Other Nitrogen Function Compounds"
445150	5150	"Organo-inorganic and heterocyclic compounds"
445154	5154	"Organo-Sulphur Compounds"
445155	5155	"Miscellaneous Organo-Inorganic Compounds"
445156	5156	"Heterocyclic Compounds"
445157	5157	"Sulphonamides, Sultones and Sultams"
445160	5160	"Other organic chemicals"
445161	5161	"Ethers and Acetals"
445162	5162	"Aldehyde, Ketone and Quinone-Function Compounds"
445163	5163	"Inorganic Esters"
445169	5169	"Organic Chemicals"
445220	5220	"Inorganic chemical elements, oxides and halogen salts"
445223	5223	"Halogen and Non-Metal Sulphur Compounds"
445230	5230	"Other inorganic chemicals; compounds of precious metals"
445233	5233	"Precious Metals Compounds"
445249	5249	"Miscellaneous Radioactive Materials"
445310	5310	"Synthetic dye, natural indigo, lakes"
445311	5311	"Dye"
445312	5312	"Synthetic Organic Luminophores"
445320	5320	"Dyeing and tanning extracts, and synthetic tanning materials"
445322	5322	"Tanning Extracts"
445323	5323	"Synthetic Tanning Substances"
445331	5331	"Miscellaneous Coloring Products"
445332	5332	"Printing Ink"
445411	5411	"Vitamins"
445415	5415	"Hormones"
445416	5416	"Glycosides and Vaccines"
445514	5514	"Scented Mixtures"
445800	5800	"Artificial resins and plastic materials, and cellulose esters etc"
445820	5820	"Condensation, polycondensation and polyaddition products"
445824	5824	"Polyamides"
445826	5826	"Epoxide Resins"
445827	5827	"Silicones"
445828	5828	"Ion exchangers of condensation"
445829	5829	"Miscellaneous Condensation Products"
445830	5830	"Polymerization and copolymerization products"
445835	5835	"Copolymers of Vinyl Chloride and Vinyl Acetate"
445836	5836	"Acrylic Polymers"
445839	5839	"Miscellaneous Polymerization Products"
445840	5840	"Regenerated cellulose; derivatives of cellulose; vulcanized fibre"
445841	5841	"Regenerated Cellulose"
445842	5842	"Cellulose Nitrates"
445843	5843	"Cellulose Acetates"
445849	5849	"Cellulose Derivates"
445850	5850	"Other artificial resins and plastic materials"
445910	5910	"Pesticides, disinfectants"
445980	5980	"Miscellaneous chemical products, nes"
445982	5982	"Anti-Corrosive Chemicals"
445983	5983	"Organic Chemical Products"
445989	5989	"Chemical Products"
446281	6281	"Hygienic Rubber Articles"
446641	6641	"Nonoptical Glass Balls, Rods or Tubes"
446642	6642	"Optical Glass"
446871	6871	"Unwrought Tin and Alloys"
446880	6880	"Depleted Uranium"
447740	7740	"Electro-medical and radiological equipment"
447741	7741	"Electrical Medical Equipment"
447742	7742	"X-Ray Equipment"
448720	8720	"Medical Instruments"
448742	8742	"Mathematical Calculation Instruments"
448744	8744	"Analog Instruments for Physical Analysis"
448745	8745	"Measuring Controlling Instruments"
448748	8748	"Miscellaneous Electrical Instruments"
448821	8821	"Photographic Chemicals"
448822	8822	"Photographic Film"
448996	8996	"Orthopedic Devices"
503200	3200	"Coal, coke and briquettes"
503221	3221	"Anthracite"
503222	3222	"Coal"
503223	3223	"Lignite"
503231	3231	"Solid Fuels"
503232	3232	"Coke"
503353	3353	"Mineral Tar Pitch"
512732	2732	"Gypsum and Other Calcareous Stone"
512740	2740	"Sulphur and unroasted iron pyrites"
512741	2741	"Sulphur"
512780	2780	"Other crude minerals"
512784	2784	"Asbestos"
512810	2810	"Iron ore and concentrates"
512815	2815	"Iron Ore"
512816	2816	"Iron Ore Agglomerates"
512860	2860	"Uranium and Thorium"
512870	2870	"Ores and concentrates of base metals"
512871	2871	"Copper Ores"
512872	2872	"Nickel Ores"
512873	2873	"Aluminum Ore"
512877	2877	"Manganese"
512879	2879	"Miscellaneous Non-Ferrous Ores"
512890	2890	"Precious Metal Ores"
515225	5225	"Inorganic Bases"
515240	5240	"Radioactive and associated material"
515241	5241	"Radioactive Chemicals"
516611	6611	"Lime"
516612	6612	"Cement"
516810	6810	"Silver, platinum and other metals of the platinum group"
516811	6811	"Silver"
516820	6820	"Copper"
516821	6821	"Copper"
516830	6830	"Nickel"
516831	6831	"Nickel"
516840	6840	"Aluminium"
516850	6850	"Lead"
516860	6860	"Zinc"
516861	6861	"Unwrought Zinc"
516870	6870	"Tin"
516899	6899	"Unwrought Base Metals"
518973	8973	"Precious Jewellery"
518991	8991	"Carving and Molding Tools"
519710	9710	"Gold"
523300	3300	"Petroleum products"
523330	3330	"Crude Petroleum"
523340	3340	"Petroleum products, refined"
523341	3341	"Light oils"
523342	3342	"Medium oils"
523343	3343	"Gas oils"
523350	3350	"Residual petroleum products, nes and related materials"
523354	3354	"Miscellaneous Bituminous Mixtures"
523410	3410	"Gas, natural and manufactured"
523413	3413	"Liquified Petroleum Gases"
523414	3414	"Petroleum Gases"
542770	2770	"Natural abrasives like industrial diamonds"
542771	2771	"Industrial Diamonds"
546670	6670	"Pearl, precious and semi-precious stones, unworked or worked"
546672	6672	"Diamonds"
546673	6673	"Unmounted Precious Stones"
546674	6674	"Synthetic Precious Stones"
572730	2730	"Stone, sand and gravel"
572731	2731	"Unworked Building Stone"
572734	2734	"Stones"
572742	2742	"Unroasted Iron Pyrites"
572782	2782	"Miscellaneous Clay and Refractory Minerals"
572783	2783	"Salt"
572785	2785	"Quartz"
572786	2786	"Metal Waste"
572789	2789	"Miscellaneous Crude Minerals"
572874	2874	"Lead Ore"
572875	2875	"Zinc Ore"
572876	2876	"Tin"
572881	2881	"Ash and Residues"
572882	2882	"Miscellaneous Non-Iron Waste"
573415	3415	"Coal and Water Gas"
576671	6671	"Unmounted Pearls"
576794	6794	"Rough Iron Castings"
576812	6812	"Platinum"
576841	6841	"Aluminum"
576851	6851	"Unwrought Lead"
576852	6852	"Worked Lead"
576872	6872	"Worked Tin and Alloys"
576891	6891	"Unwrought Tungsten, Molybdenum, Tantalum and Magnesium"
576998	6998	"Miscellaneous Metal Articles"
578974	8974	"Miscellaneous Articles of Precious Metals"
602610	2610	"Silk"
602613	2613	"Raw Silk"
602614	2614	"Worm Cocoons"
602651	2651	"Flax"
602666	2666	"Continuous Synthetic Fibres"
602667	2667	"Carded Discontinuous Synthetic Fibres"
606500	6500	"Textile yarn, fabrics, made-up articles, nes, and related products"
606510	6510	"Textile yarn"
606511	6511	"Silk Yarn"
606513	6513	"Cotton Yarn"
606514	6514	"Non-retail Synthetic Yarn"
606515	6515	"Retail Yarn of More Than 85% Synthetic Fiber"
606516	6516	"Yarn of Less Than 85% Synthetic Fibers"
606517	6517	"Yarn of Regenerated Fibers"
606518	6518	"Yarn of Regenerated Fibres"
606519	6519	"Yarn of Textile Fibers"
606520	6520	"Cotton fabrics, woven (not including narrow or special fabrics)"
606521	6521	"Unbleached Cotton Woven Fabrics"
606522	6522	"Finished Cotton Fabrics"
606530	6530	"Fabrics, woven, of man-made fibres (not narrow or special fabrics)"
606531	6531	"Synthetic Woven Fabrics"
606532	6532	"Woven Fabrics of More Than 85% Discontinuous Synthetic Fiber"
606534	6534	"Woven Fabric of less than 85% Discontinuous Synthetic Fibres"
606535	6535	"Continuous Regenerated Woven Fabrics"
606536	6536	"Fabrics of more than 85% discontinuous regenerated fibres"
606538	6538	"Fabrics of less than 85% continuous regenerated fibres"
606539	6539	"Pile and Chenille Fabrics"
606540	6540	"Woven textile fabrics"
